File Name,Dataset,aid,Date,Count,Minimum,Maximum,Range,Mean,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile
MOD13Q1_061__250m_16_days_NDVI_doy2016113000000_aid0001,_250m_16_days_NDVI,aid0001,2016-04-22,3227.0,0.0459,0.3289,"(0.0459,0.3289)",0.1006065,0.0281539,0.0007926,0.1065,0.1401,0.0928,0.0535,0.0841
MOD13Q1_061__250m_16_days_NDVI_doy2016129000000_aid0001,_250m_16_days_NDVI,aid0001,2016-05-08,3227.0,0.0493,0.2848,"(0.0493,0.2848)",0.0982729,0.0256269,0.0006567,0.1056,0.1397,0.0914,0.0493,0.0826
MOD13Q1_061__250m_16_days_NDVI_doy2016145000000_aid0001,_250m_16_days_NDVI,aid0001,2016-05-24,3227.0,0.0501,0.2936,"(0.0501,0.2936)",0.1000127,0.0259711,0.0006745,0.107,0.1417,0.093,0.0501,0.08385
MOD13Q1_061__250m_16_days_NDVI_doy2016161000000_aid0001,_250m_16_days_NDVI,aid0001,2016-06-09,3227.0,0.0416,0.3367,"(0.0416,0.3367)",0.102192,0.0304946,0.0009299,0.10945,0.1471,0.0927,0.0488,0.0843
MOD13Q1_061__250m_16_days_NDVI_doy2016177000000_aid0001,_250m_16_days_NDVI,aid0001,2016-06-25,3227.0,0.0472,0.363,"(0.0472,0.363)",0.1018619,0.0318676,0.0010155,0.11045,0.1513,0.0918,0.0472,0.0832
MOD13Q1_061__250m_16_days_NDVI_doy2016193000000_aid0001,_250m_16_days_NDVI,aid0001,2016-07-11,3227.0,0.0445,0.3287,"(0.0445,0.3287)",0.1020511,0.0302646,0.0009159,0.1091,0.146,0.0927,0.0494,0.0845
MOD13Q1_061__250m_16_days_NDVI_doy2016209000000_aid0001,_250m_16_days_NDVI,aid0001,2016-07-27,3227.0,0.0459,0.3239,"(0.0459,0.3239)",0.1040544,0.0309753,0.0009595,0.1121,0.1517,0.0939,0.049,0.0857
MOD13Q1_061__250m_16_days_NDVI_doy2016225000000_aid0001,_250m_16_days_NDVI,aid0001,2016-08-12,3227.0,0.0484,0.4361,"(0.0484,0.4361)",0.1059428,0.0322042,0.0010371,0.1136,0.1533,0.0955,0.0484,0.0871
MOD13Q1_061__250m_16_days_NDVI_doy2016241000000_aid0001,_250m_16_days_NDVI,aid0001,2016-08-28,3227.0,0.053,0.3856,"(0.053,0.3856)",0.1071375,0.0309804,0.0009598,0.1151,0.1541,0.097,0.053,0.0889
MOD13Q1_061__250m_16_days_NDVI_doy2016257000000_aid0001,_250m_16_days_NDVI,aid0001,2016-09-13,3227.0,0.0595,0.4848,"(0.0595,0.4848)",0.1063677,0.0292141,0.0008535,0.1145,0.1526,0.0971,0.0595,0.089
